Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,39.90614952561295,2021,3,17,2021-03,1
2021-03-18,39.70284237726098,2021,3,18,2021-03,1
2021-03-19,39.57983795919842,2021,3,19,2021-03,1
2021-03-20,40.639621328284115,2021,3,20,2021-03,1
2021-03-21,43.64324935400516,2021,3,21,2021-03,1
2021-03-22,40.28246124031008,2021,3,22,2021-03,1
2021-03-23,39.19421834625322,2021,3,23,2021-03,1
2021-03-24,39.52713178294573,2021,3,24,2021-03,1
2021-03-25,39.89084551615668,2021,3,25,2021-03,1
2021-03-26,39.529850382175965,2021,3,26,2021-03,1
2021-03-27,39.62490500075998,2021,3,27,2021-03,1
2021-03-28,43.70427358994922,2021,3,28,2021-03,1
2021-03-29,40.99531653746771,2021,3,29,2021-03,1
2021-03-30,39.77856712539558,2021,3,30,2021-03,1
2021-03-31,40.11240310077519,2021,3,31,2021-03,1
2021-04-01,40.64866351348909,2021,4,1,2021-04,2
2021-04-02,40.54796511627906,2021,4,2,2021-04,2
2021-04-03,40.59205426356588,2021,4,3,2021-04,2
2021-04-04,42.298668708552434,2021,4,4,2021-04,2
2021-04-05,41.44347545219638,2021,4,5,2021-04,2
2021-04-06,40.075905522126455,2021,4,6,2021-04,2
2021-04-07,40.43620801033592,2021,4,7,2021-04,2
2021-04-08,40.660206718346245,2021,4,8,2021-04,2
2021-04-09,40.76776485788114,2021,4,9,2021-04,2
2021-04-10,40.48191214470285,2021,4,10,2021-04,2
2021-04-11,40.712047803617565,2021,4,11,2021-04,2
2021-04-12,40.63404392764856,2021,4,12,2021-04,2
2021-04-13,41.006944444444436,2021,4,13,2021-04,2
2021-04-14,41.409399224806194,2021,4,14,2021-04,2
2021-04-15,40.9126291989664,2021,4,15,2021-04,2
2021-04-16,41.01227390180877,2021,4,16,2021-04,2
2021-04-17,43.45284237726098,2021,4,17,2021-04,2
2021-04-18,41.95122739018087,2021,4,18,2021-04,2
2021-04-19,40.7905361757106,2021,4,19,2021-04,2
2021-04-20,40.58801679586563,2021,4,20,2021-04,2
2021-04-21,40.12508583148119,2021,4,21,2021-04,2
2021-04-22,40.325258397932814,2021,4,22,2021-04,2
2021-04-23,40.6187015503876,2021,4,23,2021-04,2
2021-04-24,40.910368217054256,2021,4,24,2021-04,2
2021-04-25,41.015503875969,2021,4,25,2021-04,2
2021-04-26,40.70203488372092,2021,4,26,2021-04,2
2021-04-27,40.694928940568474,2021,4,27,2021-04,2
2021-04-28,41.25161498708009,2021,4,28,2021-04,2
2021-04-29,44.32671188630491,2021,4,29,2021-04,2
2021-04-30,40.914082687338514,2021,4,30,2021-04,2
2021-05-01,42.71942479355269,2021,5,1,2021-05,3
2021-05-02,43.309359245405744,2021,5,2,2021-05,3
2021-05-03,40.118047650024394,2021,5,3,2021-05,3
2021-05-04,40.09706072351421,2021,5,4,2021-05,3
2021-05-05,42.0592700258398,2021,5,5,2021-05,3
2021-05-06,40.00507105943153,2021,5,6,2021-05,3
2021-05-07,40.43249354005168,2021,5,7,2021-05,3
2021-05-08,40.834625322997404,2021,5,8,2021-05,3
2021-05-09,41.28552971576227,2021,5,9,2021-05,3
2021-05-10,40.75500645994832,2021,5,10,2021-05,3
2021-05-11,40.72357447259826,2021,5,11,2021-05,3
2021-05-12,40.78434619537968,2021,5,12,2021-05,3
2021-05-13,40.829736974044515,2021,5,13,2021-05,3
2021-05-14,41.093507751937985,2021,5,14,2021-05,3
2021-05-15,41.241099501273915,2021,5,15,2021-05,3
2021-05-16,41.7593669250646,2021,5,16,2021-05,3
2021-05-17,42.826353878679456,2021,5,17,2021-05,3
2021-05-18,42.8905684754522,2021,5,18,2021-05,3
2021-05-19,42.10529715762274,2021,5,19,2021-05,3
