Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,32.22709477124184,2021,3,17,2021-03,1
2021-03-18,32.26062091503268,2021,3,18,2021-03,1
2021-03-19,32.382626867921,2021,3,19,2021-03,1
2021-03-20,33.35657140214577,2021,3,20,2021-03,1
2021-03-21,37.100980392156856,2021,3,21,2021-03,1
2021-03-22,32.45932163187856,2021,3,22,2021-03,1
2021-03-23,32.01062091503268,2021,3,23,2021-03,1
2021-03-24,32.46446078431372,2021,3,24,2021-03,1
2021-03-25,32.46772875816993,2021,3,25,2021-03,1
2021-03-26,32.29675145116321,2021,3,26,2021-03,1
2021-03-27,32.439133986928105,2021,3,27,2021-03,1
2021-03-28,34.901066715994574,2021,3,28,2021-03,1
2021-03-29,33.202084680025855,2021,3,29,2021-03,1
2021-03-30,32.66462418300654,2021,3,30,2021-03,1
2021-03-31,32.23039215686274,2021,3,31,2021-03,1
2021-04-01,32.33445884181178,2021,4,1,2021-04,2
2021-04-02,32.27246732026145,2021,4,2,2021-04,2
2021-04-03,32.26819667260844,2021,4,3,2021-04,2
2021-04-04,33.51328960637471,2021,4,4,2021-04,2
2021-04-05,32.390570375436994,2021,4,5,2021-04,2
2021-04-06,32.16462418300654,2021,4,6,2021-04,2
2021-04-07,32.32516339869281,2021,4,7,2021-04,2
2021-04-08,32.45098039215686,2021,4,8,2021-04,2
2021-04-09,32.22359340006399,2021,4,9,2021-04,2
2021-04-10,32.36764705882353,2021,4,10,2021-04,2
2021-04-11,32.61764705882353,2021,4,11,2021-04,2
2021-04-12,32.46895424836602,2021,4,12,2021-04,2
2021-04-13,32.71772875816993,2021,4,13,2021-04,2
2021-04-14,33.150735294117645,2021,4,14,2021-04,2
2021-04-15,32.459558823529406,2021,4,15,2021-04,2
2021-04-16,32.50326797385621,2021,4,16,2021-04,2
2021-04-17,36.530228758169926,2021,4,17,2021-04,2
2021-04-18,32.548611111111114,2021,4,18,2021-04,2
2021-04-19,32.056781045751634,2021,4,19,2021-04,2
2021-04-20,32.55910398985465,2021,4,20,2021-04,2
2021-04-21,32.22667172009277,2021,4,21,2021-04,2
2021-04-22,32.329809286898836,2021,4,22,2021-04,2
2021-04-23,32.49871001031992,2021,4,23,2021-04,2
2021-04-24,32.871732026143796,2021,4,24,2021-04,2
2021-04-25,33.03186274509804,2021,4,25,2021-04,2
2021-04-26,32.46691176470589,2021,4,26,2021-04,2
2021-04-27,33.00698725111587,2021,4,27,2021-04,2
2021-04-28,33.517565359477125,2021,4,28,2021-04,2
2021-04-29,35.030637254901954,2021,4,29,2021-04,2
2021-04-30,32.68341503267974,2021,4,30,2021-04,2
2021-05-01,34.03349673202613,2021,5,1,2021-05,3
2021-05-02,33.02550676447736,2021,5,2,2021-05,3
2021-05-03,32.53213412404589,2021,5,3,2021-05,3
2021-05-04,32.955065359477125,2021,5,4,2021-05,3
2021-05-05,34.03839869281046,2021,5,5,2021-05,3
2021-05-06,33.30514705882353,2021,5,6,2021-05,3
2021-05-07,34.11805555555556,2021,5,7,2021-05,3
2021-05-08,33.54330065359477,2021,5,8,2021-05,3
2021-05-09,33.77042483660131,2021,5,9,2021-05,3
2021-05-10,33.174428104575156,2021,5,10,2021-05,3
2021-05-11,33.24101307189543,2021,5,11,2021-05,3
2021-05-12,33.19158496732027,2021,5,12,2021-05,3
2021-05-13,33.384395424836605,2021,5,13,2021-05,3
2021-05-14,33.67769607843137,2021,5,14,2021-05,3
2021-05-15,33.89880421865716,2021,5,15,2021-05,3
2021-05-16,34.46200980392157,2021,5,16,2021-05,3
2021-05-17,34.88477668845315,2021,5,17,2021-05,3
2021-05-18,36.84229302832244,2021,5,18,2021-05,3
2021-05-19,34.63421127812214,2021,5,19,2021-05,3
2021-05-20,34.52382897603486,2021,5,20,2021-05,3
2021-05-21,35.222259358288774,2021,5,21,2021-05,3
2021-05-22,34.469362745098046,2021,5,22,2021-05,3
2021-05-23,32.70669934640522,2021,5,23,2021-05,3
